"","value"
"chr1-001",-0.00749618053656084
"chr1-002",0.175998783759605
"chr1-003",0.164036732608339
"chr1-004",0.0468997133061809
"chr1-005",-0.0448998824896324
"chr1-006",-0.0334207396215124
"chr1-007",0.0241219670621677
"chr1-008",0.0302890616341876
"chr1-009",-0.10425178883977
"chr1-010",-0.109137442490975
"chr1-011",-0.246379413887657
"chr1-012",0.119262329099497
"chr1-013",-0.0477371877658038
"chr1-014",-0.0926294072015004
"chr1-015",-0.321375458534757
"chr1-016",-0.0466133586631088
"chr1-017",-0.0025512904224739
"chr1-018",0.052498015480265
"chr1-019",0.00464759812006481
"chr1-020",0.0502729651759181
"chr1-021",-0.0275640572243696
"chr1-022",-0.0334515498069682
"chr1-023",-0.186531629435023
"chr1-024",-0.124296920856977
"chr1-025",-0.0349652480466378
"chr1-026",-0.147825168990762
"chr1-027",0.0201985556384657
"chr1-028",-0.185176854289859
"chr1-029",-0.398234624351568
"chr1-030",-0.231709214555903
"chr1-031",-0.140957753636344
"chr1-032",0.101361519919702
"chr1-033",-0.115243860914995
"chr1-034",0.270074399588076
"chr1-035",0.130962012514422
"chr1-036",-0.0327186365144796
"chr1-037",-0.144014640355754
"chr1-038",-0.315809547986957
"chr1-039",-0.209719070246794
"chr1-040",-0.0715358559159374
"chr1-041",-0.138195312273718
"chr1-042",-0.200210795112187
"chr1-043",-0.0695873110268572
"chr1-044",-0.107947005333516
"chr1-045",-0.111995687797465
"chr1-046",-0.164904184389753
"chr1-047",-0.121893504245395
"chr1-048",-0.13797983215023
"chr1-049",-0.106871722396793
"chr1-050",-0.216138257558323
"chr1-051",0.048021111387309
"chr1-052",-0.296182485025808
"chr1-053",-0.202097700597169
"chr1-054",-0.0987366440931718
"chr1-055",-0.163968940722104
"chr1-056",-0.00706758368279417
"chr1-057",-0.0579293214114688
"chr1-058",0.12598969057652
"chr1-059",-0.0497334939433087
"chr1-060",-0.181734423965421
"chr1-061",-0.516839385620592
"chr1-062",-0.380428919528564
"chr1-063",-0.25495039119665
"chr1-064",-0.133205944881734
"chr1-065",-0.173525714517875
"chr1-066",-0.189548716494949
"chr1-067",-0.043352447675459
"chr1-068",-0.209674468882433
"chr1-069",-0.412377562621938
"chr1-070",-0.287317227474738
"chr1-071",-0.208604484174223
"chr1-072",0.150131473209386
"chr1-073",0.107592611040153
"chr1-074",-0.0784584737561143
"chr1-075",-0.445274807798702
"chr1-076",-0.367802261075365
"chr1-077",-0.16154070130129
"chr1-078",-0.357227402292681
"chr1-079",-0.1540362672335
"chr1-080",-0.0334124711533629
"chr1-081",-0.0897448943162381
"chr1-082",-0.107294713212023
"chr1-083",-0.150662243221152
"chr1-084",-0.256240813521835
"chr1-085",-0.36584957604451
"chr1-086",-0.250648709310403
"chr1-087",-0.228349389268351
"chr1-088",-0.16579930934609
"chr1-089",-0.187225724869415
"chr1-090",-0.190917279658729
"chr1-091",-0.167302885379145
"chr1-092",-0.0308493868675675
"chr1-093",-0.0919943078768643
"chr1-094",-0.140872677000392
"chr1-095",-0.31514092472472
"chr1-096",-0.0655888466728649
"chr1-097",-0.376663938145747
"chr1-098",-0.416036175291369
"chr1-099",-0.136579947443051
"chr1-100",-0.192055079012632
"chr1-101",-0.1168843548692
"chr1-102",0.0601522682644857
"chr1-103",0.0098385616483246
"chr1-104",-0.0472899369373536
"chr1-105",-0.13484088123043
"chr1-106",0.0206261839669881
"chr1-107",-0.0865128273133704
"chr1-108",-0.203994767489069
"chr1-109",-0.189269122300289
"chr1-110",-0.199294622800097
"chr1-111",-0.270079453082377
"chr1-112",-0.616855545784801
"chr1-113",-0.42847192077853
"chr1-114",-0.175668745836816
"chr1-115",-0.28474621705592
"chr1-116",-0.491221745768206
"chr1-117",-0.26632324776487
"chr1-118",-0.186369663663916
"chr1-119",-0.394897826543205
"chr1-120",-0.231086615204182
"chr1-121",0.00222283890773539
"chr1-122",-0.252651087882194
"chr1-123",0.0564704939430328
"chr1-124",0.0839569309734719
"chr1-125",0.025311677495701
"chr1-126",0.243308103296804
"chr1-127",0.00118676082730838
"chr1-128",-0.321262830150852
"chr1-129",-0.111521872393839
"chr1-130",-0.149253008902396
"chr1-131",-0.0123339680334012
"chr1-132",0.157083855854284
"chr1-133",-0.27484463397712
"chr1-134",-0.010621402246206
"chr1-135",0.0649445588624126
"chr1-136",-0.311019178096365
"chr1-137",-0.17077341642484
"chr1-138",0.26254070566929
"chr1-139",-0.0224304497148404
"chr1-140",-0.13335841878568
"chr1-141",-0.0879517748597962
"chr1-142",0.213846496649605
"chr1-143",0.0700773798737281
"chr1-144",0.28626470057521
"chr1-145",-0.191011556939166
"chr1-146",-0.278521090586943
"chr1-147",-0.227181682830009
"chr1-148",-0.110298811571016
"chr1-149",-0.206794836620482
"chr1-150",-0.0359873806970207
"chr1-151",-0.0338519556078837
"chr1-152",0.133495086236121
"chr1-153",-0.0583815029600898
"chr1-154",0.0246933321241549
"chr1-155",0.00033468684636338
"chr1-156",0.446458997120728
"chr1-157",-0.104344735343659
"chr1-158",-0.112731828155445
"chr1-159",0.0719980019919445
"chr1-160",0.117733517814978
"chr1-161",-0.226241606607488
"chr1-162",0.0939100641700354
"chr1-163",-0.0871843122085081
"chr1-164",-0.0518137250646737
"chr1-165",-0.144102095969574
"chr1-166",-0.113082329347634
"chr1-167",-0.00888333943352469
"chr1-168",0.0874551312066872
"chr1-169",-0.216009922873624
"chr1-170",-0.0400395045834492
"chr1-171",0.17598982183175
"chr1-172",0.322984718379662
"chr1-173",0.00965539769572361
"chr1-174",-0.135612222821637
"chr1-175",-0.26269070627012
"chr1-176",-0.00426829597285741
"chr1-177",-0.152988294240532
"chr1-178",-0.0699947975058183
"chr1-179",-0.0840543354325531
"chr1-180",0.0840796705797708
"chr1-181",0.013578756753496
"chr1-182",-0.207300093454008
"chr1-183",-0.206260375279232
"chr1-184",-0.19588628450322
"chr1-185",-0.164484091566911
"chr1-186",0.124214015456013
"chr1-187",-0.126085133510186
"chr1-188",0.096862616194153
"chr1-189",0.00931577482458953
"chr1-190",-0.0961653832555787
"chr1-191",-0.0281189080842268
"chr1-192",0.119625687471763
"chr1-193",-0.079399072051235
"chr1-194",-0.0517971409451681
"chr1-195",0.0466314698979298
"chr1-196",-0.169353976765826
"chr1-197",-0.0879839457820532
"chr1-198",0.0925157506570028
"chr1-199",-0.112769263088048
"chr1-200",0.000670089350491478
"chr1-201",-0.273242505033377
"chr1-202",0.231277607852854
"chr1-203",-0.603623215004775
"chr1-204",0.338890172855832
"chr1-205",-0.234536941121546
"chr1-206",-0.226886754154781
"chr1-207",-0.0628259097758822
"chr1-208",-0.176084306872935
"chr1-209",-0.393516745866682
"chr1-210",-0.212735315873754
"chr1-211",-0.267046738007031
"chr1-212",-0.400572721634277
"chr1-213",-0.2243993503977
"chr1-214",-0.262364707257513
"chr1-215",-0.158877435781488
"chr1-216",-0.191979118834121
"chr1-217",-0.0339640228527905
"chr1-218",-0.33391241136856
"chr1-219",-0.0438461446562695
"chr1-220",-0.280223368860669
"chr1-221",-0.179893691375753
"chr1-222",-0.250331114435873
"chr1-223",-0.16527286968666
"chr1-224",-0.328051309538317
"chr1-225",-0.385551790874872
"chr1-226",-0.301458026171421
"chr1-227",0.397513494223343
"chr1-228",-0.100324239438905
"chr1-229",-0.086664398778109
"chr1-230",-0.0247459245537218
