"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",792994,248473211,230,-0.00552482440392483
"2","Sample.1","chr10",505000,133345233,132,0.00527517559607517
"3","Sample.1","chr11",530000,134538311,128,-0.0131248244039248
"4","Sample.1","chr12",505000,133132655,133,0.0346751755960752
"5","Sample.1","chr13",18704053,114177164,98,-0.00542482440392483
"6","Sample.1","chr14",19805857,106441859,86,-0.0105248244039248
"7","Sample.1","chr15",20232279,101490595,84,0.00207517559607517
"8","Sample.1","chr16",505000,90114173,80,0.00827517559607517
"9","Sample.1","chr17",254094,83123721,82,-0.0105248244039248
"10","Sample.1","chr18",505000,80131643,75,0.0383751755960752
"11","Sample.1","chr19",530000,58303808,57,-0.00702482440392483
"12","Sample.1","chr2",505000,242091765,238,0.00177517559607517
"13","Sample.1","chr20",533168,64167084,62,-0.000124824403924834
"14","Sample.1","chr21",10569444,46349992,36,0.0376751755960752
"15","Sample.1","chr22",16657005,50391917,36,-0.0201248244039248
"16","Sample.1","chr3",505000,198117780,194,0.00857517559607517
"17","Sample.1","chr4",505000,190061561,186,0.00647517559607517
"18","Sample.1","chr5",505000,181239130,179,-0.000624824403924831
"19","Sample.1","chr6",530000,170372990,165,-0.0331248244039248
"20","Sample.1","chr7",123923,159167987,155,-0.0312248244039248
"21","Sample.1","chr8",530000,145039318,144,0.000175175596075168
"22","Sample.1","chr9",505000,138167359,107,0.00467517559607517
"23","Sample.1","chrX",2568744,155515448,135,0.423475175596075
"24","Sample.1","chrY",4568744,20998668,9,-4.10112482440393
