"loc.start","loc.end","seg.mean","type","CNVStatus","Gene","case","bin","width"
30302901,30315215,0.052718184083399,"Gene_MMasteR","Normal","RB1",9202,10000,12314
30302901,30315215,-0.054,"Gene_SNP","Normal","RB1",9202,10000,12314
30302901,30315215,-0.129,"Gene_Conumee","Normal","RB1",9202,10000,12314
30302901,30315215,0.109,"Gene_SeSAMe","Normal","RB1",9202,10000,12314
30302901,30315215,-0.108156367098451,"Gene_MMasteR","Normal","RB1",9203,10000,12314
30302901,30315215,-0.019,"Gene_SNP","Normal","RB1",9203,10000,12314
30302901,30315215,-0.119,"Gene_Conumee","Normal","RB1",9203,10000,12314
30302901,30315215,-0.0442,"Gene_SeSAMe","Normal","RB1",9203,10000,12314
30302901,30315215,0.224325950749834,"Gene_MMasteR","Amplification","RB1",9327,10000,12314
30302901,30315215,-0.065,"Gene_SNP","Normal","RB1",9327,10000,12314
30302901,30315215,-0.024,"Gene_Conumee","Normal","RB1",9327,10000,12314
30302901,30315215,6e-04,"Gene_SeSAMe","Normal","RB1",9327,10000,12314
30302901,30315215,-0.00893757405832086,"Gene_MMasteR","Normal","RB1",9328,10000,12314
30302901,30315215,-0.283,"Gene_SNP","Deletion","RB1",9328,10000,12314
30302901,30315215,-0.003,"Gene_Conumee","Normal","RB1",9328,10000,12314
30302901,30315215,0.0563,"Gene_SeSAMe","Normal","RB1",9328,10000,12314
30302901,30315215,-0.0112838871722389,"Gene_MMasteR","Normal","RB1",9337,10000,12314
30302901,30315215,0.274,"Gene_SNP","Amplification","RB1",9337,10000,12314
30302901,30315215,0.164,"Gene_Conumee","Normal","RB1",9337,10000,12314
30302901,30315215,-0.0063,"Gene_SeSAMe","Normal","RB1",9337,10000,12314
30302901,30315215,-0.0582516930183791,"Gene_MMasteR","Normal","RB1",9338,10000,12314
30302901,30315215,0.005,"Gene_SNP","Normal","RB1",9338,10000,12314
30302901,30315215,-0.024,"Gene_Conumee","Normal","RB1",9338,10000,12314
30302901,30315215,-0.088,"Gene_SeSAMe","Normal","RB1",9338,10000,12314
30302901,30315215,-0.106075736511507,"Gene_MMasteR","Normal","RB1",9350,10000,12314
30302901,30315215,-0.741,"Gene_SNP","Deletion","RB1",9350,10000,12314
30302901,30315215,-0.058,"Gene_Conumee","Normal","RB1",9350,10000,12314
30302901,30315215,-0.0222,"Gene_SeSAMe","Normal","RB1",9350,10000,12314
30302901,30315215,-0.0115803455519567,"Gene_MMasteR","Normal","RB1",9353,10000,12314
30302901,30315215,-0.359,"Gene_SNP","Deletion","RB1",9353,10000,12314
30302901,30315215,-0.131,"Gene_Conumee","Normal","RB1",9353,10000,12314
30302901,30315215,-0.0607,"Gene_SeSAMe","Normal","RB1",9353,10000,12314
30302901,30315215,-0.0330067427559722,"Gene_MMasteR","Normal","RB1",9354,10000,12314
30302901,30315215,-0.023,"Gene_SNP","Normal","RB1",9354,10000,12314
30302901,30315215,-0.09,"Gene_Conumee","Normal","RB1",9354,10000,12314
30302901,30315215,-0.0873,"Gene_SeSAMe","Normal","RB1",9354,10000,12314
30302901,30315215,0.308564111733244,"Gene_MMasteR","Amplification","RB1",9355,10000,12314
30302901,30315215,-0.077,"Gene_SNP","Normal","RB1",9355,10000,12314
30302901,30315215,-0.099,"Gene_Conumee","Normal","RB1",9355,10000,12314
30302901,30315215,0.1933,"Gene_SeSAMe","Normal","RB1",9355,10000,12314
30302901,30315215,-0.043,"Gene_SNP","Normal","RB1",9356,10000,12314
30302901,30315215,-0.08,"Gene_Conumee","Normal","RB1",9356,10000,12314
30302901,30315215,-0.0814,"Gene_SeSAMe","Normal","RB1",9356,10000,12314
30302901,30315215,0.0891498057210061,"Gene_MMasteR","Normal","RB1",9356,10000,12314
30302901,30315215,-0.157829518903983,"Gene_MMasteR","Normal","RB1",9357,10000,12314
30302901,30315215,-0.253,"Gene_SNP","Deletion","RB1",9357,10000,12314
30302901,30315215,-0.122,"Gene_Conumee","Normal","RB1",9357,10000,12314
30302901,30315215,-0.1463,"Gene_SeSAMe","Normal","RB1",9357,10000,12314
30302901,30315215,-0.00127233447383673,"Gene_MMasteR","Normal","RB1",9358,10000,12314
30302901,30315215,-0.08,"Gene_SNP","Normal","RB1",9358,10000,12314
30302901,30315215,-0.029,"Gene_Conumee","Normal","RB1",9358,10000,12314
30302901,30315215,-0.0036,"Gene_SeSAMe","Normal","RB1",9358,10000,12314
30302901,30315215,-0.149551893557549,"Gene_MMasteR","Normal","RB1",9202,50000,12314
30302901,30315215,-0.054,"Gene_SNP","Normal","RB1",9202,50000,12314
30302901,30315215,-0.141,"Gene_Conumee","Normal","RB1",9202,50000,12314
30302901,30315215,-0.0801,"Gene_SeSAMe","Normal","RB1",9202,50000,12314
30302901,30315215,-0.112194693442419,"Gene_MMasteR","Normal","RB1",9203,50000,12314
30302901,30315215,-0.019,"Gene_SNP","Normal","RB1",9203,50000,12314
30302901,30315215,-0.129,"Gene_Conumee","Normal","RB1",9203,50000,12314
30302901,30315215,-0.0501,"Gene_SeSAMe","Normal","RB1",9203,50000,12314
30302901,30315215,0.00587591238601282,"Gene_MMasteR","Normal","RB1",9327,50000,12314
30302901,30315215,-0.065,"Gene_SNP","Normal","RB1",9327,50000,12314
30302901,30315215,-0.003,"Gene_Conumee","Normal","RB1",9327,50000,12314
30302901,30315215,0.0207,"Gene_SeSAMe","Normal","RB1",9327,50000,12314
30302901,30315215,-0.0152619476537214,"Gene_MMasteR","Normal","RB1",9328,50000,12314
30302901,30315215,-0.283,"Gene_SNP","Deletion","RB1",9328,50000,12314
30302901,30315215,-0.06,"Gene_Conumee","Normal","RB1",9328,50000,12314
30302901,30315215,0.0568,"Gene_SeSAMe","Normal","RB1",9328,50000,12314
30302901,30315215,-0.032828478689173,"Gene_MMasteR","Normal","RB1",9337,50000,12314
30302901,30315215,0.274,"Gene_SNP","Amplification","RB1",9337,50000,12314
30302901,30315215,0.154,"Gene_Conumee","Normal","RB1",9337,50000,12314
30302901,30315215,-0.0112,"Gene_SeSAMe","Normal","RB1",9337,50000,12314
30302901,30315215,-0.0316697814327196,"Gene_MMasteR","Normal","RB1",9338,50000,12314
30302901,30315215,0.005,"Gene_SNP","Normal","RB1",9338,50000,12314
30302901,30315215,-0.009,"Gene_Conumee","Normal","RB1",9338,50000,12314
30302901,30315215,-0.0633,"Gene_SeSAMe","Normal","RB1",9338,50000,12314
30302901,30315215,-0.109422543268734,"Gene_MMasteR","Normal","RB1",9350,50000,12314
30302901,30315215,-0.741,"Gene_SNP","Deletion","RB1",9350,50000,12314
30302901,30315215,-0.11,"Gene_Conumee","Normal","RB1",9350,50000,12314
30302901,30315215,-0.0211,"Gene_SeSAMe","Normal","RB1",9350,50000,12314
30302901,30315215,-0.0446123111165807,"Gene_MMasteR","Normal","RB1",9353,50000,12314
30302901,30315215,-0.359,"Gene_SNP","Deletion","RB1",9353,50000,12314
30302901,30315215,-0.144,"Gene_Conumee","Normal","RB1",9353,50000,12314
30302901,30315215,-0.0512,"Gene_SeSAMe","Normal","RB1",9353,50000,12314
30302901,30315215,-0.0415963787183466,"Gene_MMasteR","Normal","RB1",9354,50000,12314
30302901,30315215,-0.023,"Gene_SNP","Normal","RB1",9354,50000,12314
30302901,30315215,-0.124,"Gene_Conumee","Normal","RB1",9354,50000,12314
