"","value"
"chr1-001",-0.208854723794066
"chr1-002",-0.254461137095821
"chr1-003",-0.169455457878818
"chr1-004",-0.260404785522129
"chr1-005",-0.395569641306583
"chr1-006",-0.388152632923598
"chr1-007",-0.324533672140126
"chr1-008",-0.2590993676476
"chr1-009",-0.235490202847
"chr1-010",-0.281398816051176
"chr1-011",-0.154305634943493
"chr1-012",-0.175401836558267
"chr1-013",-0.268431531174303
"chr1-014",-0.134652475957627
"chr1-015",-0.167487925054526
"chr1-016",-0.0996314971675731
"chr1-017",0.01675551685335
"chr1-018",0.041594826734723
"chr1-019",-0.151420007563761
"chr1-020",-0.169876062396964
"chr1-021",-0.13819453319505
"chr1-022",-0.201245129890994
"chr1-023",-0.186506175968452
"chr1-024",-0.219067343513774
"chr1-025",-0.0774623750021526
"chr1-026",-0.123358565615329
"chr1-027",-0.161030627491618
"chr1-028",-0.0894439828080868
"chr1-029",0.00191395983108294
"chr1-030",-0.11097750752761
"chr1-031",-0.133746709466373
"chr1-032",-0.110266280664525
"chr1-033",-0.206031621382074
"chr1-034",0.161009507381779
"chr1-035",0.0141028082136683
"chr1-036",-0.203239622888345
"chr1-037",-0.153524058119008
"chr1-038",-0.281239998954109
"chr1-039",-0.207102117710117
"chr1-040",-0.0558845026870401
"chr1-041",-0.109495226860517
"chr1-042",-0.149520570783165
"chr1-043",-0.157389886430908
"chr1-044",-0.155474448533575
"chr1-045",-0.167463951361974
"chr1-046",-0.168843169956843
"chr1-047",-0.136560224370424
"chr1-048",-0.101672494427181
"chr1-049",-0.158873722924701
"chr1-050",-0.08956344904582
"chr1-051",-0.0899203285030815
"chr1-052",-0.0767383583913712
"chr1-053",-0.179111375382605
"chr1-054",-0.211895136880112
"chr1-055",-0.164622444519351
"chr1-056",-0.162694718167391
"chr1-057",-0.128671560075247
"chr1-058",-0.224286951901979
"chr1-059",-0.176440515432838
"chr1-060",0.092009381907399
"chr1-061",0.11891794353817
"chr1-062",0.153333455591592
"chr1-063",0.168807833107676
"chr1-064",0.296188067691159
"chr1-065",0.211314148106582
"chr1-066",0.18837868315221
"chr1-067",0.198116566433429
"chr1-068",0.0412499232276259
"chr1-069",0.0474681345370958
"chr1-070",-0.0541460265107303
"chr1-071",-0.0537807668557909
"chr1-072",0.101361612515648
"chr1-073",-0.013311661280298
"chr1-074",-0.039151881573844
"chr1-075",-0.11328423424221
"chr1-076",-0.0984181259926796
"chr1-077",-0.103223256305939
"chr1-078",-0.0334148548903718
"chr1-079",-0.0232787982509121
"chr1-080",0.128074824674412
"chr1-081",-0.0434610876726188
"chr1-082",0.0521966411251893
"chr1-083",0.0522517358999426
"chr1-084",0.059036963449507
"chr1-085",0.224384872011603
"chr1-086",0.278242725836071
"chr1-087",0.1522935047743
"chr1-088",-0.0151388335253439
"chr1-089",-0.0454588951087059
"chr1-090",-0.0136608589499046
"chr1-091",-0.0296725983118544
"chr1-092",0.0152497101066051
"chr1-093",0.0467877892226311
"chr1-094",-0.0860837319534302
"chr1-095",-0.0385747505631973
