"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",742994,248923211,1463,-0.000472537418838036
"2","Sample.1","chr10",105000,133595233,829,0.00232746258116196
"3","Sample.1","chr11",180000,134988311,810,0.00382746258116196
"4","Sample.1","chr12",105000,133182655,808,0.011227462581162
"5","Sample.1","chr13",18704053,114327164,426,0.00612746258116197
"6","Sample.1","chr14",19855857,106841859,533,-0.00247253741883804
"7","Sample.1","chr15",20232279,101840595,551,0.000127462581161961
"8","Sample.1","chr16",55000,90114173,513,0.015927462581162
"9","Sample.1","chr17",130000,83123721,613,0.014327462581162
"10","Sample.1","chr18",105000,80231643,342,0.013127462581162
"11","Sample.1","chr19",180000,58553808,484,0.027727462581162
"12","Sample.1","chr2",55000,242091765,1323,0.00702746258116196
"13","Sample.1","chr20",133168,64267084,418,0.016727462581162
"14","Sample.1","chr21",10569444,46649992,181,0.029227462581162
"15","Sample.1","chr22",16657005,50754234,290,0.040127462581162
"16","Sample.1","chr3",155000,198117780,1033,0.000727462581161964
"17","Sample.1","chr4",55000,190061561,804,0.000727462581161964
"18","Sample.1","chr5",55000,181339130,915,-0.000472537418838036
"19","Sample.1","chr6",180000,170622990,941,-0.019972537418838
"20","Sample.1","chr7",55000,159217987,862,-0.012572537418838
"21","Sample.1","chr8",180000,145039318,759,-0.011172537418838
"22","Sample.1","chr9",205000,138167359,548,0.00992746258116196
"23","Sample.1","chrX",2518744,155615448,446,0.501027462581162
"24","Sample.1","chrY",4518744,21219771,13,-3.83417253741884
