"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0001","chr1",10001,177417,"chr1-0001",-0.15,0.027,0.454,0.167,0.098,-0.016,-0.254,0.157,0.105
"chr1-0002","chr1",521369,570000,"chr1-0002",0.035,-0.029,0.419,0.139,0.082,-0.073,-0.271,0.145,0.216
"chr1-0003","chr1",570001,720000,"chr1-0003",0.189,-0.05,0.252,0.161,-0.038,-0.14,-0.081,0.102,-0.05
"chr1-0004","chr1",720001,770000,"chr1-0004",0.064,0.067,0.042,0.091,0.027,0.07,-0.049,0.023,0.021
"chr1-0005","chr1",770001,790000,"chr1-0005",-0.232,-0.057,-0.241,-0.253,-0.101,-0.233,-0.504,-0.254,-0.144
"chr1-0006","chr1",790001,810000,"chr1-0006",0.274,0.102,0.274,0.172,0.119,0.044,-0.008,0.183,0.233
"chr1-0007","chr1",810001,840000,"chr1-0007",0.212,-0.052,0.167,0.06,-0.016,-0.052,-0.168,0.07,0.019
"chr1-0008","chr1",840001,850000,"chr1-0008",0.444,-0.068,0.263,0.013,0.001,0.111,-0.029,0.129,0.039
"chr1-0009","chr1",850001,860000,"chr1-0009",-0.036,-0.122,0.045,0.028,-0.099,0.004,-0.023,0.044,0.029
"chr1-0010","chr1",860001,870000,"chr1-0010",0.254,0.02,0.18,0.126,0,0.101,-0.005,0.133,0.073
"chr1-0011","chr1",870001,880000,"chr1-0011",0.284,-0.098,0.173,0.053,0,0.002,0.09,0.166,0.031
"chr1-0012","chr1",880001,890000,"chr1-0012",0.112,0.004,0.251,0.156,-0.019,0.041,0.055,0.109,0.11
"chr1-0013","chr1",890001,900000,"chr1-0013",0.241,0.032,0.195,0.179,0.025,0.09,-0.034,0.16,0.108
"chr1-0014","chr1",900001,910000,"chr1-0014",0.254,-0.097,0.12,0.109,0.008,0.064,0.05,0.214,0.082
"chr1-0015","chr1",910001,920000,"chr1-0015",-0.084,-0.06,0.322,0.136,0.02,0.071,-0.174,0.079,0.051
"chr1-0016","chr1",920001,940000,"chr1-0016",0.187,-0.045,0.178,0.117,0.066,0.043,-0.021,0.14,0.043
"chr1-0017","chr1",940001,950000,"chr1-0017",0.235,0.133,0.242,0.214,0.136,0.11,-0.008,0.122,0.027
"chr1-0018","chr1",950001,960000,"chr1-0018",0.324,0.176,0.346,0.276,0.126,0.074,0.114,0.39,0.293
"chr1-0019","chr1",960001,970000,"chr1-0019",0.16,0.13,0.146,0.263,0.143,0.132,0.113,0.277,0.226
"chr1-0020","chr1",970001,980000,"chr1-0020",0.189,0.12,0.63,0.331,0.066,0.024,0.112,0.197,0.12
"chr1-0021","chr1",980001,990000,"chr1-0021",0.187,0.081,0.598,0.349,0.073,-0.006,0.027,0.254,0.185
"chr1-0022","chr1",990001,1000000,"chr1-0022",0.184,-0.027,0.258,0.187,0.048,0.068,-0.044,0.204,0.13
"chr1-0023","chr1",1000001,1010000,"chr1-0023",-0.025,-0.126,0.246,0.124,0.011,0.039,-0.064,0.04,0.003
"chr1-0024","chr1",1010001,1020000,"chr1-0024",0.091,-0.018,0.339,0.245,-0.043,0.027,0.02,0.124,0.068
"chr1-0025","chr1",1020001,1030000,"chr1-0025",0.243,0.028,0.498,0.283,0.015,0.082,-0.001,0.251,0.166
"chr1-0026","chr1",1030001,1050000,"chr1-0026",0.523,0.255,0.913,0.613,0.157,0.161,0.141,0.508,0.338
"chr1-0027","chr1",1050001,1060000,"chr1-0027",0.326,0.11,0.381,0.279,0.096,0.119,0.016,0.316,0.151
"chr1-0028","chr1",1060001,1070000,"chr1-0028",0.197,0.115,0.461,0.304,0.066,0.068,-0.078,0.195,0.146
"chr1-0029","chr1",1070001,1090000,"chr1-0029",0.151,0.074,0.477,0.115,-0.024,0.096,0,0.222,0.139
"chr1-0030","chr1",1090001,1100000,"chr1-0030",0.102,-0.087,0.291,0.138,0.074,0.033,0.045,0.205,0.046
"chr1-0031","chr1",1100001,1110000,"chr1-0031",-0.001,-0.165,0.207,-0.034,-0.033,-0.009,-0.178,0.031,-0.018
"chr1-0032","chr1",1110001,1120000,"chr1-0032",0.011,-0.059,0.306,0.11,0.064,0.073,-0.151,0.102,0.064
"chr1-0033","chr1",1120001,1140000,"chr1-0033",0.076,0.172,0.321,0.178,0.046,0.04,0.016,0.241,0.107
"chr1-0034","chr1",1140001,1150000,"chr1-0034",0.164,0.02,0.326,0.116,-0.01,0.098,-0.086,0.199,0.112
"chr1-0035","chr1",1150001,1160000,"chr1-0035",0.223,0.075,0.5,0.264,0.044,0.013,-0.02,0.242,0.077
"chr1-0036","chr1",1160001,1170000,"chr1-0036",0.187,0.129,0.583,0.34,0.085,0.04,-0.044,0.243,0.16
"chr1-0037","chr1",1170001,1180000,"chr1-0037",0.132,-0.092,0.308,0.145,0,0.031,-0.018,0.134,0.123
"chr1-0038","chr1",1180001,1190000,"chr1-0038",0.256,0.127,0.231,0.239,0.231,0.217,0.204,0.285,0.2
"chr1-0039","chr1",1190001,1200000,"chr1-0039",0.133,0.135,0.476,0.215,0.088,0.138,0.034,0.237,0.124
"chr1-0040","chr1",1200001,1210000,"chr1-0040",0.234,0.066,0.358,0.21,0.081,0.08,0.077,0.196,0.082
"chr1-0041","chr1",1210001,1220000,"chr1-0041",0.188,0.035,0.219,0.11,0.082,0.158,-0.056,0.206,0.125
"chr1-0042","chr1",1220001,1230000,"chr1-0042",0.042,0.108,0.387,0.218,-0.018,-0.016,-0.115,0.182,0.247
"chr1-0043","chr1",1230001,1240000,"chr1-0043",0.17,-0.074,0.465,0.219,-0.042,-0.049,-0.037,0.139,0.036
"chr1-0044","chr1",1240001,1250000,"chr1-0044",0.266,-0.031,0.325,0.296,0.032,0.002,0.096,0.221,0.127
"chr1-0045","chr1",1250001,1260000,"chr1-0045",0.241,0.055,0.308,0.236,0.057,0.136,0.02,0.226,0.078
"chr1-0046","chr1",1260001,1270000,"chr1-0046",0.152,-0.074,0.212,0.268,-0.041,0.031,-0.053,0.167,0.135
"chr1-0047","chr1",1270001,1280000,"chr1-0047",0.131,-0.065,0.405,0.311,0.075,-0.044,-0.009,0.215,0.079
"chr1-0048","chr1",1280001,1290000,"chr1-0048",0.255,0.033,0.26,0.186,0.075,0.145,0.11,0.246,0.112
"chr1-0049","chr1",1290001,1300000,"chr1-0049",0.244,0.103,0.348,0.205,0.048,0.181,0.107,0.237,0.077
"chr1-0050","chr1",1300001,1320000,"chr1-0050",0.278,-0.04,-0.006,0.158,0.065,0.117,0.003,0.226,0.005
"chr1-0051","chr1",1320001,1330000,"chr1-0051",0.146,0.207,0.504,0.269,0.226,0.178,-0.046,0.176,0.204
"chr1-0052","chr1",1330001,1340000,"chr1-0052",0.15,-0.097,0.225,0.108,-0.016,-0.027,-0.028,0.209,0.064
"chr1-0053","chr1",1340001,1350000,"chr1-0053",0.355,0.014,0.247,0.193,0.085,0.091,0.045,0.284,0.109
"chr1-0054","chr1",1350001,1360000,"chr1-0054",0.193,0.032,0.138,0.094,0.048,0.124,-0.009,0.106,0.005
"chr1-0055","chr1",1360001,1370000,"chr1-0055",0.263,-0.076,0.194,0.073,-0.025,-0.026,-0.008,0.167,0.039
"chr1-0056","chr1",1370001,1380000,"chr1-0056",0.192,-0.021,0.082,0.061,0.012,0.049,-0.029,0.201,0.099
"chr1-0057","chr1",1380001,1390000,"chr1-0057",0.169,0.397,0.359,0.198,0.217,0.096,-0.35,0.318,0.165
"chr1-0058","chr1",1390001,1410000,"chr1-0058",0.047,0.042,0.421,0.236,0.076,0.033,-0.11,0.233,0.076
"chr1-0059","chr1",1410001,1440000,"chr1-0059",0.175,0.151,0.512,0.26,0.058,0.113,0.046,0.271,0.181
"chr1-0060","chr1",1440001,1450000,"chr1-0060",0.189,-0.007,0.181,0.252,0.089,0.027,-0.053,0.225,0.098
"chr1-0061","chr1",1450001,1470000,"chr1-0061",0.157,0.127,0.509,0.308,0.087,0.025,0.035,0.251,0.17
"chr1-0062","chr1",1470001,1480000,"chr1-0062",0.254,0.064,0.559,0.309,0.144,0.119,0.012,0.311,0.165
"chr1-0063","chr1",1480001,1490000,"chr1-0063",0.235,0.183,0.461,0.195,0.006,0.087,-0.086,0.164,0.003
"chr1-0064","chr1",1490001,1510000,"chr1-0064",0.074,0.125,0.342,0.091,0.05,0.082,-0.147,0.092,0.109
"chr1-0065","chr1",1510001,1550000,"chr1-0065",0.14,0.03,0.181,0.114,0.041,0.039,-0.029,0.097,0.1
"chr1-0066","chr1",1550001,1560000,"chr1-0066",0.209,0.065,0.374,0.263,0.095,0.049,-0.008,0.231,0.115
"chr1-0067","chr1",1560001,1570000,"chr1-0067",0.309,0.223,0.591,0.385,0.202,0.144,0.095,0.315,0.309
"chr1-0068","chr1",1570001,1600000,"chr1-0068",0.253,0.061,0.268,0.119,0.017,0.087,-0.076,0.191,0.088
"chr1-0069","chr1",1600001,1610000,"chr1-0069",0.088,0.088,0.408,0.305,0.131,0.158,-0.008,0.256,0.057
"chr1-0070","chr1",1610001,1630000,"chr1-0070",0.382,0.181,0.707,0.314,0.275,0.254,-0.005,0.41,0.17
"chr1-0071","chr1",1630001,1650000,"chr1-0071",-0.063,0.045,0.532,0.261,0.075,0.067,0.01,0.044,0.205
"chr1-0072","chr1",1650001,1660000,"chr1-0072",0.501,0.275,0.514,0.444,0.199,0.101,0.143,0.415,0.228
"chr1-0073","chr1",1660001,1680000,"chr1-0073",0.029,0.149,0.528,0.562,0.22,-0.064,0.155,0.203,0.197
"chr1-0074","chr1",1680001,1690000,"chr1-0074",0.195,0.12,0.397,0.321,0.131,0.228,0.042,0.237,0.214
"chr1-0075","chr1",1690001,1710000,"chr1-0075",0.191,0.149,0.403,0.307,0.13,0.165,0.087,0.224,0.178
"chr1-0076","chr1",1710001,1720000,"chr1-0076",0.185,0.075,0.032,0.059,0.067,0.098,-0.018,0.107,0.022
"chr1-0077","chr1",1720001,1770000,"chr1-0077",-0.071,0.16,0.241,0.089,0.148,0.069,-0.334,-0.031,0.089
"chr1-0078","chr1",1770001,1820000,"chr1-0078",-0.106,0.215,0.11,0.044,0.002,0.042,-0.518,0.073,-0.106
"chr1-0079","chr1",1820001,1840000,"chr1-0079",0.212,0.181,-0.036,0.139,0.085,0.106,0.046,0.305,0.115
"chr1-0080","chr1",1840001,1850000,"chr1-0080",0.08,-0.076,0.121,0.081,0.021,0.075,0.017,0.163,0.027
"chr1-0081","chr1",1850001,1860000,"chr1-0081",0.045,-0.308,0.078,-0.087,-0.098,-0.02,-0.109,0.035,-0.036
"chr1-0082","chr1",1860001,1880000,"chr1-0082",-0.066,-0.067,0.042,0.026,-0.104,0.177,-0.181,0.116,0.114
"chr1-0083","chr1",1880001,1900000,"chr1-0083",-0.13,0.106,0.131,0.02,-0.012,0.054,-0.206,0.02,0.117
"chr1-0084","chr1",1900001,1920000,"chr1-0084",0.17,0.145,0.523,0.373,0.186,0.238,0.075,0.335,0.298
"chr1-0085","chr1",1920001,1950000,"chr1-0085",0.053,0.182,0.399,0.15,0.116,0.072,-0.042,0.172,0.103
"chr1-0086","chr1",1950001,1960000,"chr1-0086",0.001,0.122,0.204,0.087,0.086,0.168,-0.169,0.175,0.031
"chr1-0087","chr1",1960001,1970000,"chr1-0087",-0.006,0.051,0.322,0.035,0.035,0.006,-0.101,0.111,0.065
"chr1-0088","chr1",1970001,1980000,"chr1-0088",-0.032,0.059,0.093,0.106,0.044,0.042,-0.092,-0.006,0.002
"chr1-0089","chr1",1980001,1990000,"chr1-0089",0.1,0.089,0.308,0.095,0.016,0.146,-0.12,0.219,0.047
"chr1-0090","chr1",1990001,2000000,"chr1-0090",0.324,0.219,0.679,0.237,0.09,0.129,0.029,0.24,0.158
"chr1-0091","chr1",2000001,2010000,"chr1-0091",-0.087,-0.037,0.118,-0.044,-0.04,0.062,-0.072,-0.028,-0.028
"chr1-0092","chr1",2010001,2020000,"chr1-0092",0.134,0.136,0.561,0.22,0.109,0.09,-0.112,0.227,0.114
"chr1-0093","chr1",2020001,2030000,"chr1-0093",0.184,0.024,0.314,0.261,0.083,0.045,0.019,0.206,0.202
"chr1-0094","chr1",2030001,2040000,"chr1-0094",-0.043,0.068,0.233,0.115,0.149,0.137,-0.062,0.177,0.112
"chr1-0095","chr1",2040001,2060000,"chr1-0095",0.047,-0.059,0.189,0.092,-0.046,0.062,-0.064,0.123,0.074
"chr1-0096","chr1",2060001,2080000,"chr1-0096",0.131,0.045,0.335,0.165,0.122,0.093,-0.038,0.131,0.068
"chr1-0097","chr1",2080001,2090000,"chr1-0097",-0.08,0.077,0.26,0.103,0.024,0.066,-0.18,-0.083,0.052
"chr1-0098","chr1",2090001,2100000,"chr1-0098",0.126,0.105,0.019,0.065,0.055,0.104,-0.118,-0.004,0.014
"chr1-0099","chr1",2100001,2110000,"chr1-0099",0.194,0.057,0.299,0.199,0.08,0.135,0.058,0.128,0.06
"chr1-0100","chr1",2110001,2120000,"chr1-0100",0.093,0.06,0.38,0.162,0.022,0.095,0.018,0.139,0.051
"chr1-0101","chr1",2120001,2130000,"chr1-0101",0.295,-0.037,0.154,0.17,0.021,0.117,0.026,0.091,-0.029
"chr1-0102","chr1",2130001,2140000,"chr1-0102",0.205,-0.101,0.1,0.109,-0.034,-0.002,0.017,0.104,-0.07
"chr1-0103","chr1",2140001,2150000,"chr1-0103",0.312,-0.118,-0.128,0.008,-0.035,0.083,0.037,0.138,-0.001
"chr1-0104","chr1",2150001,2160000,"chr1-0104",0.342,0.307,0.542,0.337,0.207,0.119,0.075,0.327,0.261
"chr1-0105","chr1",2160001,2170000,"chr1-0105",0.128,0.018,-0.008,-0.093,-0.058,0.083,-0.029,-0.011,-0.074
"chr1-0106","chr1",2170001,2180000,"chr1-0106",0.105,0.113,0.217,0.203,0.041,0.096,-0.011,0.177,0.067
"chr1-0107","chr1",2180001,2200000,"chr1-0107",-0.012,0.104,0.176,0.077,-0.007,0.085,-0.2,-0.016,0.021
"chr1-0108","chr1",2200001,2220000,"chr1-0108",0.024,-0.07,0.068,0.076,-0.104,-0.002,-0.03,-0.011,-0.074
"chr1-0109","chr1",2220001,2230000,"chr1-0109",0.137,0.06,0.278,0.155,0.013,0.08,0.037,0.119,0.062
"chr1-0110","chr1",2230001,2240000,"chr1-0110",0.06,-0.009,0.381,0.122,0.09,0.142,-0.031,0.175,0.199
"chr1-0111","chr1",2240001,2250000,"chr1-0111",0.317,-0.015,0.229,0.143,0.063,-0.048,0.05,0.131,0.079
