"","Chromosome","Start","End","Feature","203219650162_R08C01","203219650188_R08C01","203219750019_R05C01","203219750053_R05C01","203219760009_R08C01","203220070150_R02C01","203225140266_R03C01","203257030015_R06C01","203257030060_R08C01"
"chr1-0001","chr1",10001,177417,"chr1-0001",-0.09,0.032,0.498,0.188,0.101,-0.011,-0.207,0.19,0.107
"chr1-0002","chr1",521369,600000,"chr1-0002",0.095,-0.024,0.463,0.159,0.085,-0.068,-0.224,0.179,0.218
"chr1-0003","chr1",600001,750000,"chr1-0003",0.243,-0.045,0.229,0.127,-0.059,-0.118,-0.113,0.116,-0.023
"chr1-0004","chr1",750001,800000,"chr1-0004",0.02,0.01,-0.001,0.006,-0.024,-0.03,-0.177,-0.126,-0.009
"chr1-0005","chr1",800001,850000,"chr1-0005",0.402,-0.049,0.265,0.088,0.016,0.048,-0.036,0.182,0.063
"chr1-0006","chr1",850001,900000,"chr1-0006",0.246,-0.033,0.227,0.142,-0.003,0.041,0.068,0.16,0.059
"chr1-0007","chr1",900001,950000,"chr1-0007",0.205,-0.039,0.269,0.148,0.063,0.08,0.026,0.15,0.05
"chr1-0008","chr1",950001,1000000,"chr1-0008",0.263,0.082,0.437,0.305,0.073,0.053,0.081,0.277,0.172
"chr1-0009","chr1",1000001,1050000,"chr1-0009",0.216,0.021,0.484,0.237,0.02,0.075,0.038,0.199,0.121
"chr1-0010","chr1",1050001,1100000,"chr1-0010",0.25,0.078,0.426,0.238,0.049,0.101,0.048,0.273,0.139
"chr1-0011","chr1",1100001,1150000,"chr1-0011",0.1,-0.059,0.339,0.121,0.023,0.049,-0.063,0.152,0.078
"chr1-0012","chr1",1150001,1200000,"chr1-0012",0.251,0.085,0.49,0.271,0.059,0.078,0.056,0.275,0.142
"chr1-0013","chr1",1200001,1250000,"chr1-0013",0.268,0.036,0.379,0.244,0.051,0.065,0.058,0.234,0.092
"chr1-0014","chr1",1250001,1300000,"chr1-0014",0.252,0.026,0.357,0.263,0.04,0.106,0.07,0.235,0.102
"chr1-0015","chr1",1300001,1350000,"chr1-0015",0.325,0.037,0.293,0.213,0.107,0.105,0.051,0.258,0.076
"chr1-0016","chr1",1350001,1400000,"chr1-0016",0.224,0.027,0.219,0.117,0.038,0.051,0.006,0.2,0.062
"chr1-0017","chr1",1400001,1450000,"chr1-0017",0.246,0.12,0.427,0.299,0.11,0.079,0.058,0.307,0.176
"chr1-0018","chr1",1450001,1500000,"chr1-0018",0.26,0.111,0.537,0.285,0.084,0.061,0.02,0.284,0.118
"chr1-0019","chr1",1500001,1550000,"chr1-0019",0.219,0.067,0.308,0.14,0.064,0.075,-0.023,0.133,0.139
"chr1-0020","chr1",1550001,1600000,"chr1-0020",0.306,0.094,0.438,0.293,0.097,0.083,0.046,0.288,0.178
"chr1-0021","chr1",1600001,1650000,"chr1-0021",0.213,0.149,0.672,0.33,0.151,0.149,0.041,0.29,0.164
"chr1-0022","chr1",1650001,1700000,"chr1-0022",0.334,0.148,0.53,0.414,0.163,0.154,0.161,0.3,0.216
"chr1-0023","chr1",1700001,1750000,"chr1-0023",0.233,0.091,0.122,0.097,0.081,0.08,-0.078,0.113,-0.017
"chr1-0024","chr1",1750001,1800000,"chr1-0024",-0.091,0.276,0.399,0.093,0.125,0.062,-0.441,0.178,0.151
"chr1-0025","chr1",1800001,1850000,"chr1-0025",0.146,0.065,0.08,0.102,0.044,0.076,0.042,0.194,0.064
"chr1-0026","chr1",1850001,1900000,"chr1-0026",0.06,-0.091,0.122,0.006,-0.068,0.072,-0.094,0.092,0.047
"chr1-0027","chr1",1900001,1950000,"chr1-0027",0.152,0.168,0.509,0.269,0.139,0.152,0.018,0.247,0.167
"chr1-0028","chr1",1950001,2000000,"chr1-0028",0.115,0.077,0.355,0.119,0.049,0.115,-0.072,0.193,0.065
"chr1-0029","chr1",2000001,2050000,"chr1-0029",0.064,0.02,0.318,0.142,0.057,0.086,-0.015,0.163,0.084
"chr1-0030","chr1",2050001,2100000,"chr1-0030",0.164,0.081,0.282,0.143,0.055,0.078,-0.037,0.051,0.06
"chr1-0031","chr1",2100001,2150000,"chr1-0031",0.272,0.003,0.249,0.143,0.016,0.091,0.079,0.156,0.029
"chr1-0032","chr1",2150001,2200000,"chr1-0032",0.162,0.111,0.225,0.136,0.03,0.101,0.009,0.114,0.03
"chr1-0033","chr1",2200001,2250000,"chr1-0033",0.158,-0.011,0.257,0.147,0.02,0.032,0.04,0.154,0.073
"chr1-0034","chr1",2250001,2300000,"chr1-0034",0.21,-0.057,0.32,0.119,0.033,0.102,-0.012,0.117,0.092
"chr1-0035","chr1",2300001,2350000,"chr1-0035",0.214,-0.013,0.264,0.14,0.018,0.07,0.012,0.186,0.054
"chr1-0036","chr1",2350001,2400000,"chr1-0036",0.042,-0.068,0.156,-0.012,-0.05,-0.014,-0.081,0.052,0.049
"chr1-0037","chr1",2400001,2450000,"chr1-0037",0.041,-0.138,0.213,0.008,-0.08,-0.022,-0.108,0.093,0.002
"chr1-0038","chr1",2450001,2500000,"chr1-0038",0.232,-0.048,0.105,0.141,-0.036,0.03,0.039,0.168,0.028
"chr1-0039","chr1",2500001,2550000,"chr1-0039",0.126,-0.097,0.155,0.052,-0.024,0.048,-0.028,0.109,0.019
"chr1-0040","chr1",2550001,2634220,"chr1-0040",0.216,-0.135,0.156,0.079,0.03,0.083,0.019,0.175,0.044
"chr1-0041","chr1",2684221,2750000,"chr1-0041",0.031,-0.03,0.075,-0.014,-0.008,0.079,-0.072,0.028,0.058
"chr1-0042","chr1",2750001,2800000,"chr1-0042",0.06,-0.07,0.248,0.043,-0.038,0.029,-0.09,0.079,0.03
"chr1-0043","chr1",2800001,2850000,"chr1-0043",0.038,-0.04,0.222,0.092,-0.077,0.088,-0.074,0.106,0.052
"chr1-0044","chr1",2850001,2900000,"chr1-0044",-0.007,-0.05,0.124,0.006,-0.038,0.052,-0.096,0.015,0.049
"chr1-0045","chr1",2900001,2950000,"chr1-0045",-0.03,-0.066,0.077,-0.019,-0.016,0,-0.139,0.025,0.01
"chr1-0046","chr1",2950001,3000000,"chr1-0046",0.117,-0.011,0.316,0.12,-0.009,0.014,-0.015,0.146,0.073
"chr1-0047","chr1",3000001,3050000,"chr1-0047",0.025,-0.078,0.237,0.051,-0.005,0.041,-0.039,0.096,0.022
"chr1-0048","chr1",3050001,3100000,"chr1-0048",0.021,-0.055,0.143,-0.018,-0.028,0.049,-0.087,0.045,-0.034
"chr1-0049","chr1",3100001,3150000,"chr1-0049",0.02,-0.067,0.192,0.033,-0.029,-0.001,-0.042,-0.034,-0.018
"chr1-0050","chr1",3150001,3200000,"chr1-0050",0.076,-0.071,0.135,0.043,-0.001,0.016,-0.109,0.014,-0.046
"chr1-0051","chr1",3200001,3250000,"chr1-0051",0.132,-0.058,0.113,0.082,-0.024,-0.001,-0.03,0.09,-0.027
"chr1-0052","chr1",3250001,3300000,"chr1-0052",-0.007,-0.084,0.18,0.076,-0.058,-0.007,-0.073,0.002,-0.029
"chr1-0053","chr1",3300001,3350000,"chr1-0053",0.115,-0.033,0.254,0.122,0.027,0.042,-0.081,0.095,0.113
"chr1-0054","chr1",3350001,3400000,"chr1-0054",0.058,-0.081,0.197,0.063,-0.011,0.031,-0.021,0.076,0.059
"chr1-0055","chr1",3400001,3450000,"chr1-0055",0.044,-0.116,0.225,0.117,-0.055,0.018,-0.087,0.134,0.033
"chr1-0056","chr1",3450001,3500000,"chr1-0056",0.013,-0.101,0.081,-0.011,-0.042,0.024,-0.118,0.063,-0.004
"chr1-0057","chr1",3500001,3550000,"chr1-0057",0.164,-0.017,0.267,0.109,0.015,0.066,0.032,0.115,0.054
"chr1-0058","chr1",3550001,3600000,"chr1-0058",0.239,0.041,0.354,0.226,0.037,0.076,-0.014,0.217,0.104
"chr1-0059","chr1",3600001,3650000,"chr1-0059",0.11,-0.137,0.214,0.005,-0.102,0.037,-0.061,0.072,0.053
"chr1-0060","chr1",3650001,3700000,"chr1-0060",0.136,-0.022,0.186,0.069,-0.01,0.062,-0.067,0.122,0.036
"chr1-0061","chr1",3700001,3750000,"chr1-0061",0.041,0.037,0.225,0.125,0.029,0.018,-0.173,0.123,0.026
"chr1-0062","chr1",3750001,3800000,"chr1-0062",0.184,0.035,0.153,0.108,0.065,0.091,-0.056,0.209,-0.018
"chr1-0063","chr1",3800001,3845268,"chr1-0063",0.057,-0.059,0.109,0.081,0.004,0.074,-0.045,0.032,0.038
"chr1-0064","chr1",3995269,4050000,"chr1-0064",-0.208,-0.051,-0.162,-0.05,-0.072,-0.021,-0.189,-0.166,-0.192
"chr1-0065","chr1",4050001,4150000,"chr1-0065",-0.107,0.015,0.166,0.022,0.028,0.081,-0.236,0.005,0.053
