"","Technology","Bin","corr_coeff_pearson","distrib_methyl","distrib_SNP","p_val_SNP","p_val_methyl"
"1","Conumee","10000",-0.457068557402948,0.863047746499494,0.83445520258668,0.0180231356579639,0.042266997678117
"2","Conumee","1e+05",-0.408298058905801,0.898068646198523,0.83445520258668,0.0180231356579639,0.125812218383443
"3","Conumee","1e+06",-0.367393985388097,0.940348256378071,0.83445520258668,0.0180231356579639,0.461427698700121
"4","Conumee","50000",-0.428450363070998,0.917624486579,0.83445520258668,0.0180231356579639,0.232961809473043
"5","MethylMaster","10000",0.113497588565332,0.89714987663971,0.83445520258668,0.0180231356579639,0.122213815720976
"6","MethylMaster","1e+05",0.0308861660494735,0.94941444852375,0.83445520258668,0.0180231356579639,0.589443950801639
"7","MethylMaster","1e+06",0.298141321042687,0.907842364149083,0.83445520258668,0.0180231356579639,0.171323191394726
"8","MethylMaster","50000",-0.0818103789599422,0.900511718814195,0.83445520258668,0.0180231356579639,0.135908382744582
"9","Sesame","10000",-0.080282555230422,0.930672013753838,0.83445520258668,0.0180231356579639,0.347779670897942
"10","Sesame","1e+05",0.0307146630473196,0.944516891337358,0.83445520258668,0.0180231356579639,0.517978347739331
"11","Sesame","1e+06",0.389409249632657,0.942464470433957,0.83445520258668,0.0180231356579639,0.489597650337758
"12","Sesame","50000",0.101068482972832,0.944099609657397,0.83445520258668,0.0180231356579639,0.512126844299765
