seqnames,start,end,width,strand,freq,type,pvalue
1,13920000,14535000,615001,*,1,loss,0.318181818181818
1,152850000,153390000,540001,*,1,loss,0.318181818181818
2,241960000,242111765,151766,*,1,loss,0.318181818181818
3,94095000,176965000,82870001,*,2,both,0.4
4,4510000,6840000,2330001,*,1,loss,0.318181818181818
4,69700000,70865000,1165001,*,3,gain,0.2
5,1865000,37230000,35365001,*,1,loss,0.318181818181818
6,29850000,29960000,110001,*,1,loss,0.318181818181818
6,32425000,32620000,195001,*,1,loss,0.318181818181818
6,35270000,36310000,1040001,*,1,loss,0.318181818181818
6,36855000,37075000,220001,*,1,loss,0.318181818181818
8,43320000,46615000,3295001,*,1,gain,0.4
11,77080000,126915000,49835001,*,2,loss,0.181818181818182
12,19105000,21380000,2275001,*,1,gain,0.4
14,97375000,99140000,1765001,*,1,loss,0.318181818181818
14,100925000,101005000,80001,*,3,loss,0.0454545454545454
15,25175000,25255000,80001,*,3,loss,0.0454545454545454
15,46630000,90030000,43400001,*,1,loss,0.318181818181818
16,46500341,51250000,4749660,*,1,loss,0.318181818181818
16,51455000,52830000,1375001,*,1,loss,0.318181818181818
16,53210000,90149173,36939174,*,2,loss,0.181818181818182
17,5620000,6260000,640001,*,3,loss,0.0454545454545454
17,33580000,34860000,1280001,*,2,loss,0.181818181818182
17,35870000,36290000,420001,*,1,loss,0.318181818181818
X,2528744,155645448,153116705,*,9,gain,0
Y,4728744,21244771,16516028,*,9,loss,0
