,205125590013_R05C01,205128000013_R03C01,205128000076_R04C01,205240110044_R02C01,205240110063_R03C01
chr1:717994-248923211,2,2,2,2,2
chr1:717994-2651391,2,2,3,2,2
chr1:2798145-248923211,2,2,2,2,2
chr2:105000-242116765,2,2,2,2,2
chr3:230000-198142780,2,2,2,2,2
chr4:55000-190061561,2,2,2,2,2
chr4:55000-3550000,2,2,2,2,2
chr4:3625000-190061561,2,2,2,2,2
chr5:55000-181364130,2,2,2,2,2
chr6:155000-32375000,2,2,2,2,2
chr6:32450000-32675000,1,1,1,1,1
chr6:32725000-170647990,2,2,2,2,2
chr7:55000-159242987,2,2,2,2,2
chr7:55000-151925000,2,2,2,2,2
chr7:152000000-152750000,2,2,2,2,3
chr7:152875000-159242987,2,2,2,2,2
chr8:205000-145039318,2,2,2,2,2
chr8:205000-142225000,2,2,2,2,2
chr8:205000-109625000,2,2,2,2,2
chr8:109800000-113925000,2,2,2,1,2
chr8:114675000-145039318,2,2,2,2,2
chr8:142275000-145039318,2,2,2,2,2
chr9:130000-138192359,2,2,2,2,2
chr9:130000-135875000,2,2,2,2,2
chr9:135925000-137850000,2,2,2,2,2
chr9:137950000-138192359,2,2,2,2,2
chr10:105000-133620233,2,2,2,2,2
chr11:155000-134988311,2,2,2,2,2
chr11:155000-2025000,2,2,3,2,2
chr11:2075000-50535674,2,2,2,2,2
chr11:55087537-57000000,2,2,1,2,2
chr11:57250000-134988311,2,2,2,2,2
chr12:80000-133207655,2,2,2,2,2
chr13:18729053-114327164,2,2,2,2,2
chr14:19855857-106841859,2,2,2,2,2
chr15:20232279-101840595,2,2,2,2,2
chr15:20232279-24900000,2,2,2,2,2
chr15:25000000-25225000,2,2,2,1,2
chr15:25325000-101840595,2,2,2,2,2
chr16:55000-90139173,2,2,2,2,2
chr17:130000-83148721,2,2,2,2,2
chr18:130000-80231643,2,2,2,2,2
chr19:180000-58578808,2,2,2,2,2
chr20:158168-64292084,2,2,2,2,2
chr20:158168-53575000,2,2,2,2,2
chr20:53625000-53975000,2,2,2,2,3
chr20:54100000-64292084,2,2,2,2,2
chr21:10569444-46674992,2,2,2,2,2
chr22:16557005-50754234,2,2,2,2,2
chrX:2518744-155640448,3,3,3,3,3
chrY:4518744-21244771,1,1,1,1,1
