SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
65	1	754192	114996112	9183	TotalCN	1	-0.763	0.296	NA	NA	Recentered_STT9328.RC.OSCHP
66	1	114999277	120435245	476	TotalCN	1.67	-0.318	0.489	NA	NA	Recentered_STT9328.RC.OSCHP
67	1	120435771	208997091	4998	TotalCN	1.33	-0.397	0.484	NA	NA	Recentered_STT9328.RC.OSCHP
68	1	209007778	210001586	77	TotalCN	2	-0.034	0.427	NA	NA	Recentered_STT9328.RC.OSCHP
69	1	210008673	249212878	3066	TotalCN	1.67	-0.183	0.445	NA	NA	Recentered_STT9328.RC.OSCHP
70	2	21494	52028104	4119	TotalCN	1.33	-0.357	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
71	2	52040402	52315845	19	TotalCN	2	-0.178	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
72	2	52327826	162361527	7977	TotalCN	1.33	-0.38	0.485	NA	NA	Recentered_STT9328.RC.OSCHP
73	2	162382590	162797500	26	TotalCN	1.67	-0.291	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
74	2	162803308	243052331	5961	TotalCN	1.33	-0.394	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
75	3	63411	86037162	7000	TotalCN	1	-0.958	0.193	NA	NA	Recentered_STT9328.RC.OSCHP
76	3	86050795	114516282	1778	TotalCN	1.33	-0.394	0.487	NA	NA	Recentered_STT9328.RC.OSCHP
77	3	114534948	114789616	18	TotalCN	2	-0.18	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
78	3	114812160	120611990	469	TotalCN	1.33	-0.372	0.489	NA	NA	Recentered_STT9328.RC.OSCHP
79	3	120631567	120893389	19	TotalCN	1.67	-0.263	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
80	3	120914512	162319458	2977	TotalCN	1.33	-0.368	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
81	3	162344690	162619270	20	TotalCN	1	-0.657	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
82	3	162640497	197852564	2756	TotalCN	1.33	-0.376	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
83	4	69404	12827562	801	TotalCN	1.67	-0.295	0.488	NA	NA	Recentered_STT9328.RC.OSCHP
84	4	12837742	23113852	697	TotalCN	1.33	-0.386	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
85	4	23129048	42210117	1306	TotalCN	2	-0.072	0.376	NA	NA	Recentered_STT9328.RC.OSCHP
86	4	42225125	49084371	513	TotalCN	2.33	0.222	0.309	NA	NA	Recentered_STT9328.RC.OSCHP
87	4	49085053	190915650	10070	TotalCN	1.33	-0.386	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
88	5	38139	19844298	1351	TotalCN	1.67	-0.204	0.467	NA	NA	Recentered_STT9328.RC.OSCHP
89	5	19857908	36481330	1150	TotalCN	1.33	-0.367	0.484	NA	NA	Recentered_STT9328.RC.OSCHP
90	5	36499080	38587204	149	TotalCN	1.67	-0.305	0.485	NA	NA	Recentered_STT9328.RC.OSCHP
91	5	38609707	40599244	199	TotalCN	1.33	-0.434	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
92	5	40617402	40831808	18	TotalCN	1.67	-0.288	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
93	5	40848803	58832869	1051	TotalCN	1.33	-0.377	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
94	5	58841346	62250562	220	TotalCN	1.67	-0.311	0.482	NA	NA	Recentered_STT9328.RC.OSCHP
95	5	62262952	164234310	6991	TotalCN	1.33	-0.353	0.487	NA	NA	Recentered_STT9328.RC.OSCHP
96	5	164246775	180698312	1231	TotalCN	1.67	-0.294	0.487	NA	NA	Recentered_STT9328.RC.OSCHP
97	6	204909	62508920	4530	TotalCN	1	-0.95	0.19	NA	NA	Recentered_STT9328.RC.OSCHP
98	6	62515691	67945205	366	TotalCN	1.33	-0.399	0.487	NA	NA	Recentered_STT9328.RC.OSCHP
99	6	67977326	68258042	19	TotalCN	1	-0.641	NaN	NA	NA	Recentered_STT9328.RC.OSCHP
100	6	68282178	78814334	777	TotalCN	1.33	-0.364	0.486	NA	NA	Recentered_STT9328.RC.OSCHP
