SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
134	1	754192	1392271	42	TotalCN	1	-0.987	NaN	NA	NA	STT9358.OSCHP
135	1	1426478	19565175	1625	TotalCN	2	0.008	0.484	NA	NA	STT9358.OSCHP
136	1	19651385	53489668	2835	TotalCN	2.33	0.249	0.409	NA	NA	STT9358.OSCHP
137	1	53503282	54558101	76	TotalCN	2	0.023	0.476	NA	NA	STT9358.OSCHP
138	1	54563156	76424440	1653	TotalCN	2.33	0.25	0.431	NA	NA	STT9358.OSCHP
139	1	76430032	83795950	514	TotalCN	2.67	0.273	0.424	NA	NA	STT9358.OSCHP
140	1	83801769	106443789	1721	TotalCN	2.33	0.252	0.443	NA	NA	STT9358.OSCHP
141	1	106449970	144851599	1250	TotalCN	3	0.45	0.486	NA	NA	STT9358.OSCHP
142	1	144852910	160407025	1234	TotalCN	3.33	0.63	0.468	NA	NA	STT9358.OSCHP
143	1	160430580	187362785	2153	TotalCN	3	0.485	0.486	NA	NA	STT9358.OSCHP
144	1	187377417	187615345	19	TotalCN	3.33	0.62	NaN	NA	NA	STT9358.OSCHP
145	1	187632686	203063156	1078	TotalCN	3	0.423	0.486	NA	NA	STT9358.OSCHP
146	1	203068720	249212878	3600	TotalCN	2.67	0.357	0.471	NA	NA	STT9358.OSCHP
147	2	21494	1416037	99	TotalCN	1.33	-0.352	0.243	NA	NA	STT9358.OSCHP
148	2	1438566	36848380	2796	TotalCN	2	-0.064	0.439	NA	NA	STT9358.OSCHP
149	2	36859748	140983890	7051	TotalCN	2.33	0.181	0.354	NA	NA	STT9358.OSCHP
150	2	140984124	141778976	580	TotalCN	2	0.079	0.36	NA	NA	STT9358.OSCHP
151	2	141780910	155619395	1121	TotalCN	2.33	0.157	0.358	NA	NA	STT9358.OSCHP
152	2	155620802	156497944	53	TotalCN	2	0.05	NaN	NA	NA	STT9358.OSCHP
153	2	156508822	158556466	148	TotalCN	1.33	-0.346	NaN	NA	NA	STT9358.OSCHP
154	2	158606144	170626325	825	TotalCN	1.67	-0.284	0.483	NA	NA	STT9358.OSCHP
155	2	170633291	170932780	19	TotalCN	1.33	-0.341	NaN	NA	NA	STT9358.OSCHP
156	2	170940912	174775562	356	TotalCN	1.67	-0.275	0.48	NA	NA	STT9358.OSCHP
157	2	174793940	175240292	31	TotalCN	2	0.089	0.446	NA	NA	STT9358.OSCHP
158	2	175259065	243052331	5023	TotalCN	2.33	0.115	0.37	NA	NA	STT9358.OSCHP
159	3	63411	3728697	282	TotalCN	2.67	0.333	0.427	NA	NA	STT9358.OSCHP
160	3	3745964	12489342	762	TotalCN	3	0.475	0.485	NA	NA	STT9358.OSCHP
161	3	12516501	12704894	43	TotalCN	2.67	0.347	NaN	NA	NA	STT9358.OSCHP
162	3	12706097	21905595	655	TotalCN	3	0.446	0.486	NA	NA	STT9358.OSCHP
163	3	21921111	22188526	19	TotalCN	2.67	0.345	NaN	NA	NA	STT9358.OSCHP
164	3	22204563	89389507	5483	TotalCN	3	0.444	0.487	NA	NA	STT9358.OSCHP
165	3	89390557	157964669	4710	TotalCN	2.67	0.381	0.485	NA	NA	STT9358.OSCHP
166	3	157975767	158236212	18	TotalCN	2	0.174	NaN	NA	NA	STT9358.OSCHP
167	3	158252958	175581823	1226	TotalCN	2.67	0.397	0.487	NA	NA	STT9358.OSCHP
168	3	175599404	175999354	28	TotalCN	2	0.112	NaN	NA	NA	STT9358.OSCHP
169	3	176014233	177633633	109	TotalCN	2.33	0.171	0.399	NA	NA	STT9358.OSCHP
170	3	177647728	181734542	338	TotalCN	2.67	0.377	0.484	NA	NA	STT9358.OSCHP
171	3	181747300	184840156	203	TotalCN	3	0.452	0.49	NA	NA	STT9358.OSCHP
172	3	184857970	186547828	136	TotalCN	2.33	0.215	0.428	NA	NA	STT9358.OSCHP
173	3	186551711	188989594	274	TotalCN	1.33	-0.359	NaN	NA	NA	STT9358.OSCHP
174	3	188996933	190099280	189	TotalCN	2.33	0.193	0.415	NA	NA	STT9358.OSCHP
175	3	190115611	194291805	277	TotalCN	2	0.027	0.472	NA	NA	STT9358.OSCHP
176	3	194310731	196961186	231	TotalCN	2.33	0.186	0.411	NA	NA	STT9358.OSCHP
177	3	196984354	197852564	54	TotalCN	2.67	0.265	0.454	NA	NA	STT9358.OSCHP
178	4	69404	34613756	2274	TotalCN	2.33	0.24	0.451	NA	NA	STT9358.OSCHP
179	4	34635314	34893376	18	TotalCN	2	0.122	NaN	NA	NA	STT9358.OSCHP
180	4	34909359	46835958	877	TotalCN	2.33	0.22	0.466	NA	NA	STT9358.OSCHP
181	4	46840944	47277298	29	TotalCN	2.67	0.258	NaN	NA	NA	STT9358.OSCHP
182	4	47291135	48636595	88	TotalCN	2.33	0.173	0.473	NA	NA	STT9358.OSCHP
183	4	48649775	55037275	217	TotalCN	2.67	0.312	0.402	NA	NA	STT9358.OSCHP
184	4	55049751	55624059	106	TotalCN	3	0.412	0.461	NA	NA	STT9358.OSCHP
185	4	55638609	64573303	705	TotalCN	2.67	0.288	0.418	NA	NA	STT9358.OSCHP
186	4	64594457	64976394	27	TotalCN	2	0.103	NaN	NA	NA	STT9358.OSCHP
187	4	64990744	90437149	1770	TotalCN	2.67	0.313	0.41	NA	NA	STT9358.OSCHP
188	4	90460511	91745333	100	TotalCN	2.33	0.241	0.471	NA	NA	STT9358.OSCHP
189	4	91749811	91799948	21	TotalCN	2.67	0.345	NaN	NA	NA	STT9358.OSCHP
190	4	91801796	92246344	34	TotalCN	2.33	0.226	NaN	NA	NA	STT9358.OSCHP
191	4	92264904	92533225	19	TotalCN	2	0.109	NaN	NA	NA	STT9358.OSCHP
192	4	92551065	93479275	65	TotalCN	2.33	0.253	0.457	NA	NA	STT9358.OSCHP
193	4	93500831	189166087	6928	TotalCN	1.67	-0.156	0.207	NA	NA	STT9358.OSCHP
194	4	189181266	190915650	109	TotalCN	1.33	-0.499	0.243	NA	NA	STT9358.OSCHP
195	5	38139	83725777	5512	TotalCN	3	0.404	0.482	NA	NA	STT9358.OSCHP
196	5	83743152	170967492	6157	TotalCN	2.33	0.105	0.371	NA	NA	STT9358.OSCHP
197	5	170985840	172101839	77	TotalCN	1.67	-0.12	0.434	NA	NA	STT9358.OSCHP
198	5	172119216	174844038	179	TotalCN	2.33	0.186	0.372	NA	NA	STT9358.OSCHP
199	5	174858902	180698312	435	TotalCN	1.67	-0.11	0.464	NA	NA	STT9358.OSCHP
200	6	204909	15059299	1068	TotalCN	1	-0.809	NaN	NA	NA	STT9358.OSCHP
201	6	15066724	50307649	2809	TotalCN	1.67	-0.279	NaN	NA	NA	STT9358.OSCHP
202	6	50318693	53939724	307	TotalCN	1.33	-0.332	NaN	NA	NA	STT9358.OSCHP
203	6	53957588	57297552	222	TotalCN	1.67	-0.261	NaN	NA	NA	STT9358.OSCHP
204	6	57299131	85972492	1795	TotalCN	2.67	0.378	0.479	NA	NA	STT9358.OSCHP
205	6	85997142	109459287	1757	TotalCN	1.67	-0.285	NaN	NA	NA	STT9358.OSCHP
206	6	109478385	114293063	412	TotalCN	1.33	-0.337	NaN	NA	NA	STT9358.OSCHP
207	6	114295288	116731978	173	TotalCN	1.67	-0.296	NaN	NA	NA	STT9358.OSCHP
208	6	116756667	170913051	4161	TotalCN	3	0.432	0.478	NA	NA	STT9358.OSCHP
209	7	41421	38747782	2862	TotalCN	2.33	0.151	0.359	NA	NA	STT9358.OSCHP
210	7	38766764	57883369	1626	TotalCN	1.67	-0.152	0.202	NA	NA	STT9358.OSCHP
211	7	57886128	62340666	29	TotalCN	2	-0.103	NaN	NA	NA	STT9358.OSCHP
212	7	62349552	99197401	2644	TotalCN	2.33	0.176	0.465	NA	NA	STT9358.OSCHP
213	7	99221299	100192117	92	TotalCN	2	0.108	NaN	NA	NA	STT9358.OSCHP
214	7	100198386	110660055	755	TotalCN	2.33	0.168	0.482	NA	NA	STT9358.OSCHP
215	7	110670046	139197147	2352	TotalCN	2	0.065	0.421	NA	NA	STT9358.OSCHP
216	7	139207709	140487260	162	TotalCN	2.33	0.117	0.467	NA	NA	STT9358.OSCHP
217	7	140490207	153466623	1067	TotalCN	2	0.047	0.426	NA	NA	STT9358.OSCHP
218	7	153467840	159118443	386	TotalCN	2.33	0.132	0.428	NA	NA	STT9358.OSCHP
219	8	172417	39223656	3501	TotalCN	2.33	0.154	0.359	NA	NA	STT9358.OSCHP
220	8	39239834	39505826	19	TotalCN	0.67	-1.372	NaN	NA	NA	STT9358.OSCHP
221	8	39522613	113927052	5646	TotalCN	2.33	0.15	0.357	NA	NA	STT9358.OSCHP
222	8	113928285	114313923	157	TotalCN	2	0.043	NaN	NA	NA	STT9358.OSCHP
223	8	114318878	124662104	938	TotalCN	2.33	0.14	0.357	NA	NA	STT9358.OSCHP
224	8	124683734	146292734	1688	TotalCN	2.67	0.288	0.476	NA	NA	STT9358.OSCHP
225	9	204738	739913	37	TotalCN	0.33	-1.615	NaN	NA	NA	STT9358.OSCHP
226	9	753218	7154294	483	TotalCN	1	-0.75	NaN	NA	NA	STT9358.OSCHP
227	9	7174673	9799811	410	TotalCN	1.67	-0.143	0.413	NA	NA	STT9358.OSCHP
228	9	9817514	17336492	548	TotalCN	2.33	0.102	0.35	NA	NA	STT9358.OSCHP
229	9	17351711	21828110	380	TotalCN	1.33	-0.341	NaN	NA	NA	STT9358.OSCHP
230	9	21833659	23371941	243	TotalCN	2	0.078	0.333	NA	NA	STT9358.OSCHP
231	9	23386738	25919851	170	TotalCN	1.33	-0.35	NaN	NA	NA	STT9358.OSCHP
232	9	25934932	141054761	6260	TotalCN	2.33	0.136	0.355	NA	NA	STT9358.OSCHP
233	10	126070	1830848	178	TotalCN	2.33	0.244	0.471	NA	NA	STT9358.OSCHP
234	10	1845059	2120407	21	TotalCN	2	0.024	NaN	NA	NA	STT9358.OSCHP
235	10	2134606	14321141	846	TotalCN	2.67	0.297	0.427	NA	NA	STT9358.OSCHP
236	10	14329495	22842590	618	TotalCN	2.33	0.217	0.437	NA	NA	STT9358.OSCHP
237	10	22844326	22932148	36	TotalCN	2.67	0.283	NaN	NA	NA	STT9358.OSCHP
238	10	22934554	31530302	652	TotalCN	2.33	0.226	0.429	NA	NA	STT9358.OSCHP
239	10	31549580	31864212	22	TotalCN	2	0.125	NaN	NA	NA	STT9358.OSCHP
240	10	31872826	32141460	19	TotalCN	2.67	0.322	NaN	NA	NA	STT9358.OSCHP
241	10	32161541	38114690	398	TotalCN	2.33	0.234	0.421	NA	NA	STT9358.OSCHP
242	10	38139483	43591403	126	TotalCN	2	0.081	NaN	NA	NA	STT9358.OSCHP
243	10	43594617	57981623	910	TotalCN	2.33	0.165	0.374	NA	NA	STT9358.OSCHP
