"","Chromosome Region","Event","Length","Cytoband","% of CNV Overlap","Probe Median","% Heterozygous","Probes","Count of Gene Symbols"
"1","chr2:0-90,245,035","CN Loss","90245036","p25.3 - p11.2","85.11380820008547","-0.3538699895143509","32.0353982300885","6780","669"
"2","chr2:95,429,197-243,199,373","CN Loss","147770177","q11.1 - q37.3","79.89163591440806","-0.4000440835952759","31.59381898454746","11325","1089"
"3","chr3:186,533,699-189,008,622","CN Loss","2474924","q27.3 - q28","69.4486656756594","-0.8057262897491455","0.0","281","23"
"4","chr4:0-49,092,454","CN Loss","49092455","p16.3 - p11","84.46830341787354","-0.30610623955726624","33.49282296650718","3344","378"
"5","chr4:52,684,891-73,898,740","CN Loss","21213850","q11 - q13.3","87.98013505234246","-0.29737649857997894","34.285714285714285","1610","121"
"6","chr4:73,917,381-191,154,276","CN Loss","117236896","q13.3 - q35.2","85.02940307315372","-0.6118676066398621","30.884257623925585","8493","593"
"7","chr6:15,063,011-58,770,502","CN Loss","43707492","p23 - p11.1","76.01542033149421","-0.7553146779537201","0.08715862870424172","3442","692"
"8","chr6:85,984,817-116,762,792","CN Loss","30777976","q14.3 - q22.1","83.52860446471868","-0.7996375560760498","0.12804097311139565","2343","152"
"9","chr7:74,160-58,025,423","CN Loss","57951264","p22.3 - p11.1","91.6529636291102","-0.36615830659866333","36.59460664140851","4487","442"
"10","chr7:63,332,586-159,138,663","CN Loss","95806078","q11.21 - q36.3","88.43006378394973","-0.3511738181114197","34.42512467987599","7419","853"
"11","chr8:0-7,004,147","CN Loss","7004148","p23.3 - p23.1","99.50762027124787","-0.3594122678041458","30.19047619047619","1050","53"
"12","chr8:8,094,763-39,014,920","CN Loss","30920158","p23.1 - p11.22","86.43027912180395","-0.32880038022994995","35.667485667485664","2442","262"
"13","chr8:39,390,007-43,767,534","CN Loss","4377528","p11.22 - p11.1","79.58747027716791","-0.3781828433275223","23.59550561797753","356","38"
"14","chr8:46,896,972-146,364,022","CN Loss","99467051","q11.1 - q24.3","80.88920602350225","-0.671039342880249","33.65491651205937","8085","616"
"15","chr9:995,350-39,184,065","CN Loss","38188716","p24.3 - p13.1","93.69428900658218","-0.48656994104385376","21.570482497634817","3171","256"
"16","chr9:70,984,372-141,213,431","CN Loss","70229060","q21.11 - q34.3","82.15747131112778","-0.3549852520227432","36.64280331574981","5308","752"
"17","chr10:0-39,146,676","CN Loss","39146677","p15.3 - p11.1","83.0646131998538","-0.3303860127925873","41.155743481324876","2838","270"
"18","chr10:42,413,322-135,534,747","CN Loss","93121426","q11.21 - q26.3","85.51328547646258","-0.35560810565948486","36.400758349132275","6857","810"
"19","chr11:0-51,575,951","CN Loss","51575952","p15.5 - p11.12","86.41202951352268","-0.39603665471076965","36.66393666393667","3663","573"
