"","Chromosome Region","Event","Length","Cytoband","% of CNV Overlap","Probe Median","% Heterozygous","Probes","Count of Gene Symbols"
"1","chr2:0-90,245,035","CN Loss","90245036","p25.3 - p11.2","85.11380820008547","-0.33000844717025757","31.96165191740413","6780","669"
"2","chr2:95,429,197-243,199,373","CN Loss","147770177","q11.1 - q37.3","79.89163591440806","-0.37990373373031616","31.690949227373068","11325","1089"
"3","chr3:175,077,381-179,046,905","CN Loss","3969525","q26.31 - q26.33","89.32970300721195","-0.34504540264606476","41.666666666666664","312","18"
"4","chr3:186,490,418-189,418,263","CN Loss","2927846","q27.3 - q28","67.13528209314359","-0.7881584167480469","5.507246376811594","345","31"
"5","chr4:93,490,053-191,154,276","CN Loss","97664224","q22.1 - q35.2","83.72310195925073","-0.38881632685661316","29.545776142634782","7067","451"
"6","chr5:161,143,197-180,915,260","CN Loss","19772064","q34 - q35.3","85.37950743936027","-0.4313015043735504","40.959666203059804","1438","197"
"7","chr6:15,063,011-57,300,033","CN Loss","42237023","p23 - p11.2","75.18040452757299","-0.8235700130462646","0.0","3355","689"
"8","chr6:85,984,817-116,744,322","CN Loss","30759506","q14.3 - q22.1","83.51871397150246","-0.8261609673500061","0.2134927412467976","2342","152"
"9","chr7:74,160-58,025,423","CN Loss","57951264","p22.3 - p11.1","91.6529636291102","-0.3770809471607208","36.90661912190773","4487","442"
"10","chr8:0-7,004,147","CN Loss","7004148","p23.3 - p23.1","99.50762027124787","-0.31055474281311035","30.952380952380953","1050","53"
"11","chr8:8,094,763-39,231,745","CN Loss","31136983","p23.1 - p11.22","86.41763353943551","-0.3112608790397644","35.85673585673586","2457","263"
"12","chr8:39,390,007-43,767,534","CN Loss","4377528","p11.22 - p11.1","79.58747027716791","-0.3412930518388748","23.03370786516854","356","38"
"13","chr8:46,896,972-146,364,022","CN Loss","99467051","q11.1 - q24.3","80.88920602350225","-0.33514711260795593","33.76623376623377","8085","616"
"14","chr9:0-16,040,976","CN Loss","16040977","p24.3 - p22.3","94.58532323718956","-0.45279908180236816","28.879310344827587","1392","75"
"15","chr9:16,400,295-39,184,065","CN Loss","22783771","p22.3 - p13.1","93.82955498585177","-0.47188183665275574","23.893805309734514","1808","195"
"16","chr9:70,984,372-141,213,431","CN Loss","70229060","q21.11 - q34.3","82.15747131112778","-0.3459577113389969","36.79351921627732","5308","752"
"17","chr10:48,659,670-70,586,234","CN Loss","21926565","q11.22 - q21.3","86.5444900532523","-0.23544706404209137","34.662379421221864","1555","110"
"18","chr10:71,789,941-85,240,909","CN Loss","13450969","q22.1 - q23.1","83.28124786260736","-0.2165982574224472","39.04418394950406","1109","123"
"19","chr10:89,024,476-91,095,090","CN Loss","2070615","q23.2 - q23.31","88.8131249957742","-0.33220070600509644","16.065573770491802","305","29"
"20","chr10:91,394,804-94,806,524","CN Loss","3411721","q23.31 - q23.33","75.62557888689575","-0.24544675648212433","31.277533039647576","227","28"
"21","chr10:95,990,912-111,099,520","CN Loss","15108609","q23.33 - q25.1","84.43969821706936","-0.20974521338939667","42.438130155820346","1091","178"
"22","chr10:116,911,394-121,379,064","CN Loss","4467671","q25.3 - q26.11","81.6859794926662","-0.23099283874034882","28.859060402684563","298","36"
"23","chr10:124,343,307-126,906,891","CN Loss","2563585","q26.13","68.38734365638106","-0.2750706076622009","38.72549019607843","204","28"
