"","value"
"chr1-0001",0.114664838260562
"chr1-0002",0.0541724333472992
"chr1-0003",-0.170924598475725
"chr1-0004",-0.505034176214031
"chr1-0005",-0.205258406978661
"chr1-0006",-0.580500320620084
"chr1-0007",-0.396881140604009
"chr1-0008",-0.169456354045925
"chr1-0009",-0.339297871168923
"chr1-0010",-0.270665447357676
"chr1-0011",-0.350729396254424
"chr1-0012",-0.320814600848364
"chr1-0013",-0.310032615180178
"chr1-0014",-0.145899876929061
"chr1-0015",-0.299057356082172
"chr1-0016",-0.217131977751557
"chr1-0017",-0.185683893843679
"chr1-0018",-0.172100982666638
"chr1-0019",-0.210808609767166
"chr1-0020",-0.340271916374265
"chr1-0021",-0.380883347474061
"chr1-0022",-0.618046745569493
"chr1-0023",-0.315746536675023
"chr1-0024",-0.600148563178689
"chr1-0025",-0.501506281937537
"chr1-0026",-0.104826536217126
"chr1-0027",-0.334160913809198
"chr1-0028",-0.0166174187402611
"chr1-0029",-0.222419634164132
"chr1-0030",-0.195464362271133
"chr1-0031",-0.372176840256449
"chr1-0032",-0.114792467004784
"chr1-0033",-0.230049319932179
"chr1-0034",-0.210272427661839
"chr1-0035",-0.121615415515963
"chr1-0036",-0.254406099974813
"chr1-0037",0.0527723571121536
"chr1-0038",-0.33039997964171
"chr1-0039",-0.0341187245200135
"chr1-0040",-0.190367706608265
"chr1-0041",-0.251692809346119
"chr1-0042",-0.492043350308698
"chr1-0043",-0.276032832378277
"chr1-0044",-0.18706963646952
"chr1-0045",-0.0501087998544708
"chr1-0046",-0.246210816560854
"chr1-0047",-0.0712864585406281
"chr1-0048",-0.233174014853913
"chr1-0049",-0.160418721840419
"chr1-0050",-0.150122004352651
"chr1-0051",0.0821391520876341
"chr1-0052",0.0197199471978428
"chr1-0053",-0.239056684355674
"chr1-0054",-0.120323382022262
"chr1-0055",-0.110452578551155
"chr1-0056",-0.0872533215590498
"chr1-0057",-0.200696180682813
"chr1-0058",-0.118213255681175
"chr1-0059",0.0338182294886693
"chr1-0060",-0.264655129290175
"chr1-0061",-0.463136123718319
"chr1-0062",-0.287885591787149
"chr1-0063",-0.350484891865491
"chr1-0064",-0.0778330275524909
"chr1-0065",-0.429492942359648
"chr1-0066",-0.346200027845438
"chr1-0067",-0.228171834692671
"chr1-0068",-0.226535287044274
"chr1-0069",-0.0890510462954033
"chr1-0070",-0.348406699891225
"chr1-0071",-0.208102022433264
"chr1-0072",-0.286109191361166
"chr1-0073",-0.0330951356726747
"chr1-0074",-0.479304334759193
"chr1-0075",-0.157090639187236
"chr1-0076",-0.217304924182076
"chr1-0077",-0.130291258444523
"chr1-0078",-0.274862658765218
"chr1-0079",-0.177519962346259
"chr1-0080",-0.22016176036188
"chr1-0081",-0.193356417868756
"chr1-0082",-0.15160053248144
"chr1-0083",-0.188293208470892
"chr1-0084",-0.319247235056427
"chr1-0085",-0.146853145575407
"chr1-0086",-0.276202545506684
"chr1-0087",-0.165287194637921
"chr1-0088",-0.343993160132323
"chr1-0089",-0.204877929895107
"chr1-0090",-0.0582055272035832
"chr1-0091",-0.149858981942703
"chr1-0092",-0.360170019044428
"chr1-0093",-0.383606577603823
"chr1-0094",-0.413398164979382
"chr1-0095",-0.541729267115881
"chr1-0096",-0.248539115583531
"chr1-0097",-0.60389955806521
"chr1-0098",-0.22710061098365
"chr1-0099",-0.442647179770338
"chr1-0100",-0.249158963496154
"chr1-0101",-0.127248036852816
"chr1-0102",-0.290998837194335
"chr1-0103",-0.465037797126508
"chr1-0104",-0.294043266367737
"chr1-0105",-0.279209720498064
"chr1-0106",-0.247432252537168
"chr1-0107",-0.600149433350431
"chr1-0108",-0.206254821014178
"chr1-0109",-0.587913752214984
"chr1-0110",-0.525213327266656
"chr1-0111",-0.348337021279581
"chr1-0112",-0.50235382640413
"chr1-0113",-0.329794691671841
"chr1-0114",-0.224596562863716
"chr1-0115",-0.181838468057761
"chr1-0116",-0.320740904615516
"chr1-0117",-0.392865847574574
"chr1-0118",-0.406699191102889
"chr1-0119",-0.285506119394243
"chr1-0120",-0.306907720851541
"chr1-0121",-0.331719884221909
"chr1-0122",-0.315468294542429
"chr1-0123",-0.323486739572475
"chr1-0124",-0.447783137364877
"chr1-0125",-0.306409575583755
"chr1-0126",-0.313748494399664
"chr1-0127",-0.353888724416147
"chr1-0128",-0.358702187064788
"chr1-0129",-0.245848420756409
"chr1-0130",-0.317323662711974
"chr1-0131",-0.243719948385872
"chr1-0132",-0.275048230766417
"chr1-0133",-0.535099759569617
"chr1-0134",-0.368647215940217
