"","Sample","Chromosome","bp.Start","bp.End","Num.of.Markers","Mean"
"1","Sample.1","chr1",742994,248923211,1463,-0.0187275607401952
"2","Sample.1","chr10",105000,133595233,829,-0.00882756074019524
"3","Sample.1","chr11",180000,134988311,810,-0.0226275607401952
"4","Sample.1","chr12",105000,133182655,808,0.00237243925980476
"5","Sample.1","chr13",18704053,114327164,426,-0.00532756074019524
"6","Sample.1","chr14",19855857,106841859,533,-0.0188275607401952
"7","Sample.1","chr15",20232279,101840595,551,-0.0147275607401952
"8","Sample.1","chr16",55000,90114173,513,-0.0145275607401952
"9","Sample.1","chr17",130000,83123721,613,-0.0216275607401952
"10","Sample.1","chr18",105000,80231643,342,0.00027243925980476
"11","Sample.1","chr19",180000,58553808,484,-0.0236275607401952
"12","Sample.1","chr2",55000,242091765,1323,-0.00052756074019524
"13","Sample.1","chr20",133168,64267084,418,-0.0243275607401952
"14","Sample.1","chr21",10569444,46649992,181,0.00307243925980476
"15","Sample.1","chr22",16657005,50754234,290,-0.0250275607401952
"16","Sample.1","chr3",155000,198117780,1033,0.00067243925980476
"17","Sample.1","chr4",55000,190061561,804,0.0117724392598048
"18","Sample.1","chr5",55000,181339130,915,-0.00232756074019524
"19","Sample.1","chr6",180000,170622990,941,-0.00652756074019524
"20","Sample.1","chr7",55000,159217987,862,-0.00672756074019524
"21","Sample.1","chr8",180000,145039318,759,-0.0103275607401952
"22","Sample.1","chr9",205000,138167359,548,-0.0232275607401952
"23","Sample.1","chrX",2518744,151650000,422,0.671972439259805
"24","Sample.1","chrX",151800000,155615448,24,0.510672439259805
"25","Sample.1","chrY",4518744,21219771,13,-3.65512756074019
