seqnames,start,end,width,strand,freq,type,pvalue
1,190500000,196500000,6000001,*,1,gain,0.25
2,505000,61500000,60995001,*,1,loss,1
2,76500000,83500000,7000001,*,1,gain,0.25
2,106500000,150500000,44000001,*,1,loss,1
3,95000000,176500000,81500001,*,1,loss,1
5,505000,36500000,35995001,*,1,loss,1
7,86500000,114500000,28000001,*,1,loss,1
11,77500000,126500000,49000001,*,2,loss,0
15,46500000,89500000,43000001,*,1,loss,1
16,47500000,83500000,36000001,*,1,loss,1
X,2568744,155515448,152946705,*,9,gain,0
Y,4568744,20998668,16429925,*,9,loss,0
